nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
160;320;1;9;0;0;3;0;true;12852057;1;26661012;1512032;0;0
160;640;1;9;0;0;3;0;true;49439281;1;101076020;172800;0;0
100;320;10;9;0;0;3;0;true;12558436;1;9664507;14400;0;0
110;320;10;9;0;0;3;0;true;12607369;1;9697841;14400;0;0
120;320;10;9;0;0;3;0;true;12656313;1;9731174;14400;0;0
130;320;10;9;0;0;3;0;true;12705247;1;9764507;14400;0;0
140;320;10;9;0;0;3;0;true;12754181;1;9797841;14400;0;0
150;320;10;9;0;0;3;0;true;12803124;1;9831174;14400;0;0
160;320;10;9;0;0;3;0;true;12852058;1;9864507;14400;0;0
90;320;1;12;0;0;3;0;true;16659878;1;34117349;57600;0;0
